# id	left	top	right	bottom	texture_id
[SPRITES]
#####  BIG ###############
#IDLE
11121	246	154	259	181	0
11111	186	154	199	181	0

#WALKING RIGHT
11222	275	154	290	181	0
11223	304	154	321	181	0

#WALKING LEFT
11212	155	154	170	181	0
11213	125	154	140	181	0

#RUNNING RIGHT
11321	362	154	381	181	0
11322	392	154	413	181	0
11323	334	154	355	181	0

#RUNNING LEFT
11311	65	154	86	181	0
11312	34	154	55	181	0
11313	91	154	112	181	0

#JUMP WALK RIGHT & LEFT
11417	395	275	410	300	0
11413	35	275	50	300	0

#JUMP RUN RIGHT & LEFT
11427	394	195	413	222	0
11423	35	195	52	222	0

#SIT RIGHT & LEFT 
11521	426	239	439	256	0
11511	6	239	19	256	0

#BRACE RIGHT & LEFT 
11621	425	154	440	181	0
11611	5	154	20	181	0

#DIE
13001	215	120	234	137	0

#KICK KOOPAS RIGHT & LEFT
11721	423	274	444	301	0
11711	2	274	23	301	0

#HOLDING_KOOPAS_IDLE_RIGHT&LEFT
11821	336	234	349	261	0
11811	96	234	109	261	0

#HOLDING_KOOPAS_WALK_RIGHT&LEFT
11921	276	314	291	341	0
11922	305	315	320	340	0

11931	155	314	170	341	0
11932	125	315	140	340	0
############ SMALL ################
 #IDLE
12121	247	0	258	15	0
12111	187	0	198	15	0

#WALK RIGHT
12223	306	0	321	15	0

#WALK LEFT
12213	125	0	140	15	0

#RUN RIGHT
12321	275	0	290	15	0
12323	335	0	350	15	0

#RUN LEFT
12311	155	0	170	15	0
12313	95	0	110	15	0

#SIT RIGHT & LEFT 
#12331	
#12333	
#BRACE RIGHT & LEFT
12521	426	0	439	15	0
12511	6	0	19	15	0

#JUMP WALK RIGHT & LEFT 
12417	395	80	410	95	0
12413	35	80	50	95	0

#JUMP RUN RIGHT & LEFT 
12427	365	40	380	55	0
12423	65	40	80	55	0

#KICK KOOPAS RIGHT & LEFT
12437	425	80	440	95	0
12433	5	80	20	95	0

#HOLDING_KOOPAS_IDLE_RIGHT&LEFT
