# id	left	top	right	bottom	texture_id
[SPRITES]

############ SMALL ################
#IDLE RIGHT & LEFT 
11121	400	148	415	163	100
11111	0	0	15	15	100

#WALK RIGHT & LEFT 
11223	382	148	397	163	100
11213	18	0	33	15	100

#RUN RIGHT
11321	346	148	361	163	100
11323	328	148	343	163	100

#RUN LEFT
11311	54	0	69	15	100
11313	72	0	87	15	100

#SIT RIGHT & LEFT 

#SKID RIGHT & LEFT
11521	292	148	307	163	100
11511	108	0	123	15	100

#JUMP WALK RIGHT & LEFT 
11417	364	148	379	163	100
11413	36	0	51	15	100

#JUMP RUN RIGHT & LEFT 
11427	310	148	325	163	100
11423	90	0	105	15	100

#KICK KOOPAS RIGHT & LEFT
11437	220	148	235	163	100
11433	180	0	195	15	100

#HOLDING_KOOPAS_IDLE_RIGHT & LEFT
11443	256	148	271	163	100
11447	144	0	159	15	100

#HOLDING_KOOPAS_WALK_RIGHT & LEFT
11453	238	148	253	163	100
11457	162	0	175	15	100

#MARIO FRONT 
11941	126	0	141	15	100

#####  BIG ###############
#IDLE
12121	402	169	415	196	100
12111	0	21	13	48	100

#WALKING RIGHT
12222	382	169	397	196	100
12223	364	169	379	196	100

#WALKING LEFT
12212	18	21	33	48	100
12213	36	21	51	48	100

#RUNNING RIGHT
12321	306	169	325	196	100
12322	280	169	299	196	100
12323	254	169	273	196	100

#RUNNING LEFT
12311	90	21	109	48	100
12312	116	21	135	48	100
12313	142	21	161	48	100

#JUMP WALK RIGHT & LEFT
12417	328	169	343	196	100
12413	72	21	87	48	100

#JUMP RUN RIGHT & LEFT
12427	228	169	247	196	100
12423	168	21	187	48	100

#SIT RIGHT & LEFT 
12521	346	179	361	196	100
12511	54	31	69	48	100

#SKID RIGHT & LEFT 
12621	206	169	221	196	100
12611	194	21	209	48	100

#DIE
13001	184	148	199	163	100

#KICK KOOPAS RIGHT & LEFT
12721	108	169	129	196	100
12711	286	21	307	48	100

#HOLDING_KOOPAS_IDLE_RIGHT & LEFT
12821	172	169	185	196	100
12811	230	21	243	48	100

#HOLDING_KOOPAS_WALK_RIGHT & LEFT
12921	152	169	167	196	100
12922	134	169	149	196	100

12931	248	21	263	48	100
12932	266	21	281	48	100

#MARIO FRONT 
12941	212	21	227	48	100

#MARIO TOPPLE 
12961	328	17	351	40	100
#MARIO LOOK UP
12962	354	23	369	48	100

#####  LUIGI ###############
#IDLE
13121	208	269	221	296	100
13111	194	121	207	148	100

#WALKING RIGHT
13222	188	269	203	296	100
13223	170	270	185	295	100

#WALKING LEFT
13212	212	121	227	148	100
13213	230	122	245	147	100

#RUNNING RIGHT
13321	362	394	381	421	0
13322	392	395	411	420	0
13323	334	394	353	421	0

#RUNNING LEFT
13311	65	394	84	421	0
13312	35	395	54	420	0
13313	93	394	112	421	0

#JUMP WALK RIGHT & LEFT
13417	134	270	149	295	100
13413	266	122	281	147	100

#JUMP RUN RIGHT & LEFT
